wallet,num_trades,avg_markout,median_markout,std_markout,toxicity_score,toxicity_percentile
0x26c2a93fb90fef34c6b34dc3c8981e569e49036c,2,3.690994509512393,3.690994509512393,0.19666436173679358,18.767987698617052,61.76470588235294
0x8c05d61c5ac6bcf4f617ceff8edc64f166a9cd0d,2,2.7777696544487753,2.7777696544487753,0.2402345077150585,11.562741611276197,61.47058823529412
0x7b26efb006249371b88bbba20ddbb47e51d76645,3,4.073222453783122,4.023282588089387,0.36962801541646684,11.019787931918165,61.1764705882353
0x4c8391b4bddb5d48d8160ec2cfe1a3344ddbe56c,12,0.6855316821077319,0.6458716460645064,0.06601548154781257,10.384406236091216,60.882352941176464
0x0000000000001efe53a797754f094caf01bf92c7,2,3.5421198444396396,3.5421198444396396,0.756365211157572,4.683081328116376,60.588235294117645
0x22b0351d445840db59b97df3808dd642dcb17e96,2,4.624844379649403,4.624844379649403,1.2021381852659943,3.8471819611605262,60.29411764705882
0xc0dec76000f6c2d32f23d523748e50ebb5bb34a3,3,4.629624670042934,5.472380336830156,1.207069365682785,3.835425505202767,60.0
0x2543386b50671652c983c46b6061fbbcd5f5f7c4,2,1.7661488168596406,1.7661488168596406,0.5303471710508347,3.3301747986294132,59.705882352941174
0xff5910ab899d4d8ca4ff3b99f93a62bddbeda77e,2,2.8347836332854968,2.8347836332854968,1.5691412875335118,1.8065827709342759,59.411764705882355
0xe743a49f04f2f77eb2d3b753ae3ad599de8cea84,3,3.0212861389748773,3.9070010577684116,2.034182029354274,1.485258487452749,59.11764705882353
0x2d75d9452ae504f379bb2fce34ced9aa7361a283,3,3.5527206101774027,3.2844070200399074,2.5197598619057393,1.4099441180045529,58.82352941176471
0x232c2753c086289a3346d4a4921ec15c4de8b9e2,4,4.981836677312344,5.450222111054927,3.541634468773144,1.406649022413544,58.529411764705884
0xd4cd7041426200b69591740378774665a4628f14,3,4.699981527112868,3.0978237254612395,3.3489495305586554,1.4034196306011946,58.235294117647065
0xdc045bef625521a41eb961502591ce25e126d3a1,2,3.1927582663322482,3.1927582663322482,2.408294380828238,1.3257342119350388,57.94117647058824
0x0000000000000792b907283999351c9587689a82,3,4.775380538866557,4.290432478372168,3.9617660098565026,1.2053666256240756,57.647058823529406
0x574be013006558d0a5682a6b0508f02d147377bf,5,2.8102721416093117,2.8723493203592625,2.382889909167948,1.1793545807565446,57.35294117647059
0x2528b985765da6aebde7c6d823915c1cc336b057,2,1.9680949333678655,1.9680949333678655,3.2775380092834894,0.6004796654649076,57.05882352941176
0x9eb9e9b2ba5c2665a16beaa8e137410358b6beaf,2,0.7611292513713579,0.7611292513713579,1.4516535678992568,0.524318792692136,56.76470588235294
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,9,1.3626078637663441,2.052519294619742,2.6027911012625355,0.5235179488166395,56.470588235294116
0x1053ec0d66c4d1678099521b07f19a4532d33578,4,2.0875773381253566,0.17839692183656553,4.620805765302237,0.45177777202479635,56.1764705882353
